# ns-api geofeed (RFC 8805)
# generated_at: 2026-03-24T17:29:43.919Z
# columns: ip_prefix,alpha2code,region,city,postal_code
# note: postal_code is intentionally left blank
168.100.181.16/28,US,US-IN,Shelbyville,
208.88.255.104/29,US,US-IN,Pendleton,
204.8.12.112/28,US,US-IN,Pendleton,
204.8.12.64/27,US,US-IN,Pendleton,
204.8.8.132/30,US,US-IN,Pendleton,
208.88.254.104/29,US,US-IN,Pendleton,
204.8.11.192/27,US,US-IN,Pendleton,
168.100.182.80/28,US,US-IN,Muncie,
168.100.183.144/29,US,US-IN,New Palestine,
204.8.12.128/29,US,US-IN,New Palestine,
208.88.253.0/27,US,US-IN,New Palestine,
168.100.181.144/28,US,US-IN,McCordsville,
204.8.13.48/30,US,US-IN,McCordsville,
168.100.183.200/29,US,US-IN,McCordsville,
204.8.12.32/28,US,US-IN,McCordsville,
208.88.249.20/30,US,US-IN,McCordsville,
208.88.250.176/29,US,US-IN,McCordsville,
168.100.181.48/28,US,US-IN,McCordsville,
208.88.255.48/28,US,US-IN,McCordsville,
208.88.255.152/29,US,US-IN,McCordsville,
208.88.249.160/27,US,US-IN,McCordsville,
74.112.114.196/30,US,US-IN,McCordsville,
168.100.181.200/30,US,US-IN,Franklin,
208.88.249.224/29,US,US-IN,Franklin,
208.88.251.128/26,US,US-IN,Franklin,
204.8.11.240/30,US,US-IN,Franklin,
208.88.250.172/30,US,US-IN,Franklin,
208.88.248.240/28,US,US-IN,Franklin,
204.8.13.248/29,US,US-IN,Franklin,
74.112.114.76/30,US,US-IN,Franklin,
74.112.117.32/27,US,US-IN,Fortville,
168.100.183.96/28,US,US-IN,Knightstown,
208.70.40.168/30,US,US-IN,Knightstown,
204.8.13.96/28,US,US-IN,Knightstown,
204.8.14.24/29,US,US-IN,Knightstown,
204.8.10.0/28,US,US-IN,Knightstown,
208.70.40.160/30,US,US-IN,New Castle,
208.88.248.224/28,US,US-IN,New Castle,
204.8.13.40/30,US,US-IN,Knightstown,
204.8.8.200/30,US,US-IN,Knightstown,
208.88.250.8/30,US,US-IN,Knightstown,
168.100.181.168/29,US,US-IN,Greenfield,
208.88.250.12/30,US,US-IN,Greenfield,
208.70.40.176/28,US,US-IN,Greenfield,
208.88.255.120/29,US,US-IN,Greenfield,
204.8.15.128/25,US,US-IN,Greenfield,
168.100.180.16/28,US,US-IN,Franklin,
64.184.15.0/26,US,US-IN,Franklin,
74.112.119.0/25,US,US-IN,Greenfield,
63.208.139.0/25,US,US-IN,Greenfield,
168.100.180.32/28,US,US-IN,Franklin,
64.184.15.64/26,US,US-IN,Franklin,
2606:5d00:1000:1::/64,US,US-IN,Greenfield,
2606:5d00:f:1::/64,US,US-IN,Greenfield,
2606:5d00:f:b::/64,US,US-IN,Greenfield,
2606:5d00:f:c::/96,US,US-IN,Greenfield,
2606:5d00:1001:7::/64,US,US-IN,Greenfield,
2606:5d00:9001:1::/64,US,US-IN,McCordsville,
2606:5d00:9001::/64,US,US-IN,McCordsville,
2606:5d00:9000::/64,US,US-IN,McCordsville,
2606:5d00:c001:3::/64,US,US-IN,Fortville,
2606:5d00:c001:1::/64,US,US-IN,Fortville,
2606:5d00:c000::/64,US,US-IN,Fortville,
2606:5d00:a001::/64,US,US-IN,Greenfield,
2606:5d00:a001:4::/64,US,US-IN,Greenfield,
2606:5d00:a001:3::/64,US,US-IN,Greenfield,
2606:5d00:a001:2::/64,US,US-IN,Greenfield,
2606:5d00:a000::/64,US,US-IN,Greenfield,
2606:5d00:a001:1::/64,US,US-IN,Greenfield,
2606:5d00:a000:5::/64,US,US-IN,Greenfield,
2606:5d00:7001:1::/64,US,US-IN,Greenfield,
2606:5d00:7000::/64,US,US-IN,Greenfield,
2606:5d00:b001::/64,US,US-IN,New Palestine,
2606:5d00:f001:1::/64,US,US-IN,New Castle,
2606:5d00:d001:3::/64,US,US-IN,Morristown,
2606:5d00:d001:1::/64,US,US-IN,Morristown,
2606:5d00:d001:2::/64,US,US-IN,Morristown,
208.88.253.160/27,US,US-IN,Pendleton,
208.88.255.0/28,US,US-IN,New Castle,
2606:5d00::/28,US,US-IN,Greenfield,
208.88.249.120/30,US,US-IN,New Castle,
204.8.14.32/27,US,US-IN,Pendleton,
208.88.255.192/30,US,US-IN,Greenfield,
74.112.118.144/30,US,US-IN,Greenfield,
208.88.248.128/30,US,US-IN,Greenfield,
204.8.12.0/28,US,US-IN,Greenfield,
208.88.253.192/26,US,US-IN,Greenfield,
204.8.11.232/30,US,US-IN,McCordsville,
204.8.11.236/30,US,US-IN,McCordsville,
208.88.254.184/29,US,US-IN,New Castle,
74.112.116.0/25,US,US-IN,New Castle,
208.88.250.160/29,US,US-IN,New Castle,
168.100.183.128/29,US,US-IN,Fortville,
168.100.182.0/29,US,US-IN,Fortville,
208.88.250.192/30,US,US-IN,Fortville,
208.88.254.0/26,US,US-IN,Fortville,
208.88.252.160/28,US,US-IN,Pendleton,
208.70.40.192/29,US,US-IN,Fortville,
168.100.183.112/29,US,US-IN,Greenfield,
204.8.10.64/29,US,US-IN,Greenfield,
204.8.10.96/29,US,US-IN,Greenfield,
204.8.9.32/27,US,US-IN,Greenfield,
74.112.116.160/27,US,US-IN,Greenfield,
204.8.14.4/30,US,US-IN,Greenfield,
208.88.254.80/29,US,US-IN,Greenfield,
168.100.183.32/27,US,US-IN,Greenfield,
204.8.9.64/27,US,US-IN,Greenfield,
204.8.11.160/27,US,US-IN,Greenfield,
208.88.255.164/30,US,US-IN,Greenfield,
208.88.252.180/30,US,US-IN,Greenfield,
208.88.253.144/28,US,US-IN,Greenfield,
208.70.46.0/24,US,US-IN,Greenfield,
64.184.8.0/21,US,US-IN,Greenfield,
63.208.139.0/24,US,US-IN,Greenfield,
208.88.248.0/21,US,US-IN,Greenfield,
208.70.40.0/21,US,US-IN,Greenfield,
204.8.8.0/21,US,US-IN,Greenfield,
168.100.180.0/22,US,US-IN,Greenfield,
74.112.112.0/21,US,US-IN,Greenfield,
63.208.139.128/25,US,US-IN,McCordsville,
208.70.40.200/29,US,US-IN,Indianapolis,
2606:5d02:200a::/48,US,US-IN,New Palestine,
2606:5d02:200b::/48,US,US-IN,New Palestine,
2606:5d02:3000::/40,US,US-IN,Morristown,
208.70.46.15/32,US,US-IN,New Castle,
208.70.46.31/32,US,US-IN,Indianapolis,
2606:5d02:5000::/48,US,US-IN,Greenwood,
208.70.46.8/32,US,US-IN,Fortville,
2606:5d02:6000::/48,US,US-IN,Knightstown,
2606:5d02:600a::/48,US,US-IN,Knightstown,
208.70.46.24/32,US,US-IN,Fortville,
2606:5d02:7000::/48,US,US-IN,Shelbyville,
208.70.46.7/32,US,US-IN,Pendleton,
2606:5d02:7001::/48,US,US-IN,Shelbyville,
2606:5d02:700a::/48,US,US-IN,Shelbyville,
2606:5d02:700b::/48,US,US-IN,Shelbyville,
2606:5d02:700c::/48,US,US-IN,Shelbyville,
208.70.46.26/32,US,US-IN,New Castle,
2606:5d02:8000::/48,US,US-IN,Bargersville,
2606:5d02:8001::/48,US,US-IN,Bargersville,
208.70.45.233/32,US,US-IN,Knightstown,
208.70.45.248/32,US,US-IN,Greenfield,
208.70.46.27/32,US,US-IN,Greenfield,
2606:5d02:e000::/48,US,US-IN,Rushville,
208.70.46.20/32,US,US-IN,Greenfield,
208.70.45.240/32,US,US-IN,Greenfield,
208.70.46.2/32,US,US-IN,Greenfield,
2606:5d02:9000::/48,US,US-IN,Bargersville,
2606:5d02:9001::/48,US,US-IN,Bargersville,
2606:5d02:a000::/48,US,US-IN,Shelbyville,
2606:5d02:a001::/48,US,US-IN,Shelbyville,
208.70.45.253/32,US,US-IN,Greenfield,
2606:5d02:b000::/48,US,US-IN,McCordsville,
2606:5d02:b001::/48,US,US-IN,McCordsville,
2606:5d02:b00a::/48,US,US-IN,McCordsville,
208.70.46.1/32,US,US-IN,Cumberland,
2606:5d02:b00b::/48,US,US-IN,McCordsville,
2606:5d02:c000::/48,US,US-IN,Whiteland,
208.70.46.3/32,US,US-IN,New Palestine,
208.70.46.29/32,US,US-IN,Cambridge City,
2606:5d02:c00a::/48,US,US-IN,Whiteland,
2606:5d02:c00b::/48,US,US-IN,Whiteland,
2606:5d02:f000::/48,US,US-IN,Greenfield,
2606:5d02:f00a::/48,US,US-IN,Greenfield,
2606:5d03:1000::/48,US,US-IN,Greenfield,
2606:5d00:f:f::/127,US,US-IN,Greenfield,
2606:5d03:1001::/48,US,US-IN,Greenfield,
2606:5d03:2000::/48,US,US-IN,Greenfield,
2606:5d03:3000::/48,US,US-IN,McCordsville,
74.112.119.128/25,US,US-IN,McCordsville,
2606:5d02:e001::/48,US,US-IN,Rushville,
2606:5d00:6001::/48,US,US-IN,Pendleton,
2606:5d01:7000:1::/64,US,US-IN,New Castle,
208.70.46.28/32,US,US-IN,Greenfield,
204.8.8.180/31,US,US-IN,Greenfield,
208.70.45.244/32,US,US-IN,Greenfield,
208.70.45.36/31,US,US-IN,Greenfield,
208.70.45.245/32,US,US-IN,Greenfield,
208.70.45.208/31,US,US-IN,Greenfield,
208.70.46.11/32,US,US-IN,Greenfield,
2606:5d00:1000::/48,US,US-IN,Greenfield,
208.70.45.238/32,US,US-IN,Greenwood,
208.70.46.21/32,US,US-IN,Greenwood,
208.70.45.234/32,US,US-IN,Pendleton,
2606:5d00:1001::/48,US,US-IN,Greenfield,
2606:5d00:100a::/48,US,US-IN,Greenfield,
2606:5d00:100b::/48,US,US-IN,Greenfield,
2606:5d00:100c::/48,US,US-IN,Greenfield,
2606:5d00:100d::/48,US,US-IN,Greenfield,
2606:5d00:100e::/48,US,US-IN,Greenfield,
204.8.8.144/31,US,US-IN,Whiteland,
2606:5d00:100f::/48,US,US-IN,Greenfield,
2606:5d00:1010::/48,US,US-IN,Greenfield,
2606:5d00:1020::/48,US,US-IN,Greenfield,
2606:5d00:1800::/37,US,US-IN,Greenfield,
2606:5d00:2000::/48,US,US-IN,Greenfield,
2606:5d00:2001::/48,US,US-IN,Greenfield,
208.70.45.241/32,US,US-IN,Trafalgar,
2606:5d00:200a::/48,US,US-IN,Greenfield,
2606:5d00:2800::/37,US,US-IN,Greenfield,
2606:5d00:3000::/48,US,US-IN,McCordsville,
2606:5d00:3001::/48,US,US-IN,McCordsville,
2606:5d00:300a::/48,US,US-IN,McCordsville,
208.70.46.30/32,US,US-IN,Bargersville,
2606:5d00:300b::/48,US,US-IN,McCordsville,
2606:5d00:3800::/37,US,US-IN,McCordsville,
2606:5d00:4000::/48,US,US-IN,Greenfield,
2606:5d00:4001::/48,US,US-IN,Greenfield,
2606:5d00:400a::/48,US,US-IN,Greenfield,
2606:5d00:400b::/48,US,US-IN,Greenfield,
208.70.45.242/32,US,US-IN,Bargersville,
2606:5d00:400c::/48,US,US-IN,Greenfield,
2606:5d00:400d::/48,US,US-IN,Greenfield,
2606:5d00:400e::/48,US,US-IN,Greenfield,
208.70.45.237/32,US,US-IN,Franklin,
2606:5d00:400f::/48,US,US-IN,Greenfield,
2606:5d00:4800::/37,US,US-IN,Greenfield,
2606:5d00:5000::/48,US,US-IN,Fortville,
2606:5d00:5001::/48,US,US-IN,Fortville,
2606:5d00:500a::/48,US,US-IN,Fortville,
2606:5d00:500b::/48,US,US-IN,Fortville,
204.8.10.52/31,US,US-IN,New Castle,
2606:5d00:500c::/48,US,US-IN,Fortville,
2606:5d00:500d::/48,US,US-IN,Fortville,
2606:5d00:500e::/48,US,US-IN,Fortville,
2606:5d00:500f::/48,US,US-IN,Fortville,
2606:5d00:5010::/48,US,US-IN,Fortville,
2606:5d00:5011::/48,US,US-IN,Fortville,
2606:5d00:5012::/48,US,US-IN,Fortville,
2606:5d00:5013::/48,US,US-IN,Fortville,
2606:5d00:5800::/48,US,US-IN,Fortville,
2606:5d00:7000::/48,US,US-IN,Greenfield,
2606:5d00:7001::/48,US,US-IN,Greenfield,
2606:5d00:700a::/48,US,US-IN,Greenfield,
208.70.45.97/32,US,US-IN,Rushville,
2606:5d00:700b::/48,US,US-IN,Greenfield,
208.70.46.25/32,US,US-IN,Rushville,
2606:5d00:7800::/37,US,US-IN,Greenfield,
2606:5d00:9000::/48,US,US-IN,McCordsville,
2606:5d00:9001::/48,US,US-IN,McCordsville,
2606:5d00:9800::/37,US,US-IN,McCordsville,
2606:5d00:a000::/48,US,US-IN,Greenfield,
2606:5d00:a001::/48,US,US-IN,Greenfield,
2606:5d00:a00a::/48,US,US-IN,Greenfield,
2606:5d00:a00b::/48,US,US-IN,Greenfield,
2606:5d00:a00c::/48,US,US-IN,Greenfield,
2606:5d00:a00d::/48,US,US-IN,Greenfield,
2606:5d00:a00e::/48,US,US-IN,Greenfield,
2606:5d00:a800::/37,US,US-IN,Greenfield,
2606:5d00:b001::/48,US,US-IN,New Palestine,
208.70.46.19/32,US,US-IN,Rushville,
2606:5d00:c000::/48,US,US-IN,Fortville,
2606:5d00:c001::/48,US,US-IN,Fortville,
2606:5d00:c002::/48,US,US-IN,Fortville,
2606:5d00:d001::/48,US,US-IN,Morristown,
2606:5d00:d800::/37,US,US-IN,Morristown,
2606:5d00:e000::/48,US,US-IN,Pendleton,
2606:5d00:e001::/48,US,US-IN,Pendleton,
208.70.46.6/32,US,US-IN,Morristown,
2606:5d00:e00a::/48,US,US-IN,Pendleton,
2606:5d00:f001::/48,US,US-IN,New Castle,
208.70.45.229/32,US,US-IN,Morristown,
2606:5d01:2000::/48,US,US-IN,Trafalgar,
2606:5d01:2001::/48,US,US-IN,Trafalgar,
2606:5d01:2800::/37,US,US-IN,Trafalgar,
2606:5d01:3000::/48,US,US-IN,New Castle,
2606:5d01:3001::/48,US,US-IN,New Castle,
2606:5d01:4000::/48,US,US-IN,New Castle,
2606:5d01:4001::/48,US,US-IN,New Castle,
208.70.46.9/32,US,US-IN,Shelbyville,
2606:5d01:400a::/48,US,US-IN,New Castle,
